Student_ID,Student_Name,Gender,Class,Section,Subject,Attendance_Percentage,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Parental_Support,Internet_Access,Extracurricular_Activities,Internal_Marks,Assignment_Score,Final_Exam_Marks,Total_Marks,Grade,Result,Performance_Category
1001,Student_0001,Male,FY,B,Mathematics,68.1,21.6,9.2,High,Yes,No,19.1,7.2,45.3,71.5,B+,Pass,Good
1001,Student_0001,Male,FY,B,Physics,68.1,21.6,9.2,High,Yes,No,17.8,9.4,40.3,67.6,B,Pass,Good
1001,Student_0001,Male,FY,B,Chemistry,68.1,21.6,9.2,High,Yes,No,19.8,10.0,57.9,87.7,A,Pass,Excellent
1001,Student_0001,Male,FY,B,English,68.1,21.6,9.2,High,Yes,No,24.6,5.9,34.5,64.9,B,Pass,Average
1001,Student_0001,Male,FY,B,Computer Science,68.1,21.6,9.2,High,Yes,No,22.2,8.7,41.7,72.6,B+,Pass,Good
1002,Student_0002,Female,FY,A,Mathematics,94.0,11.4,5.9,High,No,Yes,16.6,3.0,44.2,63.8,B,Pass,Average
1002,Student_0002,Female,FY,A,Physics,94.0,11.4,5.9,High,No,Yes,21.6,7.7,58.6,87.9,A,Pass,Excellent
1002,Student_0002,Female,FY,A,Chemistry,94.0,11.4,5.9,High,No,Yes,18.8,6.3,60.0,85.0,A,Pass,Excellent
1002,Student_0002,Female,FY,A,English,94.0,11.4,5.9,High,No,Yes,17.1,5.7,51.4,74.2,B+,Pass,Good
1002,Student_0002,Female,FY,A,Computer Science,94.0,11.4,5.9,High,No,Yes,28.0,9.6,37.8,75.4,B+,Pass,Good
1003,Student_0003,Female,TY,A,Mathematics,99.9,14.1,7.5,Low,Yes,Yes,25.3,6.9,46.6,78.7,B+,Pass,Good
1003,Student_0003,Female,TY,A,Physics,99.9,14.1,7.5,Low,Yes,Yes,24.3,10.0,56.1,90.4,A+,Pass,Excellent
1003,Student_0003,Female,TY,A,Chemistry,99.9,14.1,7.5,Low,Yes,Yes,30.0,10.0,43.8,83.8,A,Pass,Excellent
1003,Student_0003,Female,TY,A,English,99.9,14.1,7.5,Low,Yes,Yes,30.0,6.5,52.7,89.2,A,Pass,Excellent
1003,Student_0003,Female,TY,A,Computer Science,99.9,14.1,7.5,Low,Yes,Yes,28.3,8.8,60.0,97.1,A+,Pass,Excellent
